 schemaname |                     tablename                     |                            indexname                            | tablespace |                                                                                 indexdef                                                                                  
 public     | cms_title                                         | cms_title_page_id                                               |            | CREATE INDEX cms_title_page_id ON cms_title USING btree (page_id)
 public     | cms_title                                         | cms_title_path                                                  |            | CREATE INDEX cms_title_path ON cms_title USING btree (path)
 public     | cms_title                                         | cms_title_path_like                                             |            | CREATE INDEX cms_title_path_like ON cms_title USING btree (path varchar_pattern_ops)
 public     | cms_title                                         | cms_title_slug                                                  |            | CREATE INDEX cms_title_slug ON cms_title USING btree (slug)
 public     | cms_title                                         | cms_title_slug_like                                             |            | CREATE INDEX cms_title_slug_like ON cms_title USING btree (slug varchar_pattern_ops)
 public     | cms_cmsplugin                                     | cms_cmsplugin_plugin_type                                       |            | CREATE INDEX cms_cmsplugin_plugin_type ON cms_cmsplugin USING btree (plugin_type)
 public     | cms_cmsplugin                                     | cms_cmsplugin_plugin_type_like                                  |            | CREATE INDEX cms_cmsplugin_plugin_type_like ON cms_cmsplugin USING btree (plugin_type varchar_pattern_ops)
 public     | survey_localresponse                              | survey_localresponse_pkey                                       |            | CREATE UNIQUE INDEX survey_localresponse_pkey ON survey_localresponse USING btree (id)
 public     | survey_surveyuser                                 | survey_surveyuser_pkey                                          |            | CREATE UNIQUE INDEX survey_surveyuser_pkey ON survey_surveyuser USING btree (id)
 public     | survey_surveyuser                                 | survey_surveyuser_global_id_key                                 |            | CREATE UNIQUE INDEX survey_surveyuser_global_id_key ON survey_surveyuser USING btree (global_id)
 public     | survey_lastresponse                               | survey_lastresponse_user_id_key                                 |            | CREATE UNIQUE INDEX survey_lastresponse_user_id_key ON survey_lastresponse USING btree (user_id)
 public     | cms_page                                          | cms_page_rght                                                   |            | CREATE INDEX cms_page_rght ON cms_page USING btree (rght)
 public     | cms_page                                          | cms_page_level                                                  |            | CREATE INDEX cms_page_level ON cms_page USING btree (level)
 public     | cms_page                                          | cms_page_navigation_extenders                                   |            | CREATE INDEX cms_page_navigation_extenders ON cms_page USING btree (navigation_extenders)
 public     | cms_page                                          | cms_page_navigation_extenders_like                              |            | CREATE INDEX cms_page_navigation_extenders_like ON cms_page USING btree (navigation_extenders varchar_pattern_ops)
 public     | cms_page                                          | cms_page_parent_id                                              |            | CREATE INDEX cms_page_parent_id ON cms_page USING btree (parent_id)
 public     | survey_surveyuser                                 | survey_surveyuser_last_participation_id                         |            | CREATE INDEX survey_surveyuser_last_participation_id ON survey_surveyuser USING btree (last_participation_id)
 public     | cmsplugin_picture                                 | picture_picture_cmsplugin_ptr_id_key                            |            | CREATE UNIQUE INDEX picture_picture_cmsplugin_ptr_id_key ON cmsplugin_picture USING btree (cmsplugin_ptr_id)
 public     | cms_cmsplugin                                     | cms_cmsplugin_pkey                                              |            | CREATE UNIQUE INDEX cms_cmsplugin_pkey ON cms_cmsplugin USING btree (id)
 public     | cms_cmsplugin                                     | cms_cmsplugin_parent_id                                         |            | CREATE INDEX cms_cmsplugin_parent_id ON cms_cmsplugin USING btree (parent_id)
 public     | cms_cmsplugin                                     | cms_cmsplugin_tree_id                                           |            | CREATE INDEX cms_cmsplugin_tree_id ON cms_cmsplugin USING btree (tree_id)
